31,1733,77,93,73,115
31,1842,1408,323,93,234
31,1862,1547,340,13,17
31,1984,360,236,81,93
32,1733,76,94,73,115
32,1842,1411,321,93,234
32,1862,1547,340,13,17
32,1984,359,235,81,93
33,1733,76,94,73,115
33,1842,1411,321,93,234
33,1984,359,235,81,93
34,1733,77,95,73,115
34,1842,1412,321,93,234
34,1984,358,234,81,93
35,1733,78,94,73,115
35,1842,1415,319,93,234
35,1984,357,233,81,93
36,1733,77,95,73,115
36,1842,1418,319,93,234
36,1984,356,234,81,93
37,1733,78,94,73,115
37,1842,1419,319,93,234
37,1984,355,233,81,93
38,1733,77,95,73,115
38,1842,1422,319,93,234
38,1984,354,234,81,93
39,1733,78,94,73,115
39,1842,1423,319,93,234
39,1984,353,233,81,93
40,1733,77,93,73,115
40,1842,1426,319,93,234
40,1984,354,234,81,93
41,1733,78,92,73,115
41,1842,1427,319,93,234
41,1984,351,233,81,93
42,1733,77,93,73,115
42,1842,1430,319,93,234
42,1984,352,232,81,93
43,1733,78,92,73,115
43,1842,1433,317,93,234
43,1984,349,231,81,93
44,1733,77,93,73,115
44,1842,1436,317,93,234
44,1984,348,232,81,93
45,1733,78,92,73,115
45,1842,1441,315,93,234
45,1984,347,231,81,93
46,1733,77,93,73,115
46,1842,1446,313,93,234
46,1984,346,232,81,93
47,1733,78,92,73,115
47,1842,1451,313,93,234
47,1984,345,231,81,93
48,1733,77,93,73,115
48,1842,1456,311,93,234
48,1984,344,232,81,93
49,1733,78,92,73,115
49,1842,1461,309,93,234
49,1984,341,231,81,93
50,1733,77,93,73,115
50,1842,1464,309,93,234
50,1984,340,232,81,93
51,1733,78,92,73,115
51,1842,1467,307,93,234
51,1984,339,231,81,93
52,1733,77,93,73,115
52,1842,1470,307,93,234
52,1984,338,232,81,93
53,1733,78,94,73,115
53,1842,1473,307,93,234
53,1984,335,231,81,93
54,1733,77,95,73,115
54,1842,1476,309,93,234
54,1984,334,232,81,93
55,1733,78,94,73,115
55,1842,1479,309,93,234
55,1984,331,229,81,93
56,1733,77,95,73,115
56,1842,1482,309,93,234
56,1984,330,230,81,93
57,1733,78,96,73,115
57,1842,1485,309,93,234
57,1984,329,229,81,93
